Dataset,Dataset_Path,Original_Size,Compressed_Size,Compression_Ratio
book1,./Datasets/Calgary_Corpus/book1,768771,768569,0.00026275704988876214
book2,./Datasets/Calgary_Corpus/book2,610856,610199,0.001075539898110156
news,./Datasets/Calgary_Corpus/news,377109,365022,0.03205174100856778
paper1,./Datasets/Calgary_Corpus/paper1,53161,52925,0.004439344632343301
paper2,./Datasets/Calgary_Corpus/paper2,82199,82172,0.00032847114928402643
paper3,./Datasets/Calgary_Corpus/paper3,46526,46525,2.1493358552171493e-05
paper4,./Datasets/Calgary_Corpus/paper4,13286,13284,0.00015053439710976946
paper5,./Datasets/Calgary_Corpus/paper5,11954,11936,0.001505772126484839
paper6,./Datasets/Calgary_Corpus/paper6,38105,38035,0.0018370292612518435
progc,./Datasets/Calgary_Corpus/progc,39611,38341,0.03206180101486966
progl,./Datasets/Calgary_Corpus/progl,71646,64846,0.09491109064009151
progp,./Datasets/Calgary_Corpus/progp,49379,43923,0.11049231454666963
alice29.txt,./Datasets/Canterbury_Corpus/alice29.txt,152089,149580,0.016496919566832524
asyoulik.txt,./Datasets/Canterbury_Corpus/asyoulik.txt,125179,124874,0.0024365109163677623
fields.c,./Datasets/Canterbury_Corpus/fields.c,11150,10626,0.046995515695067214
grammar.lsp,./Datasets/Canterbury_Corpus/grammar.lsp,3721,3550,0.04595538833646873
lcet10.txt,./Datasets/Canterbury_Corpus/lcet10.txt,426754,412185,0.034139105901760725
plrabn12.txt,./Datasets/Canterbury_Corpus/plrabn12.txt,481861,481171,0.0014319482174319775
xargs.1,./Datasets/Canterbury_Corpus/xargs.1,4227,4227,0.0
bible.txt,./Datasets/Large_text_files/bible.txt,4047392,4047392,0.0
E.coli,./Datasets/Large_text_files/E.coli,4638690,4324757,0.06767708124492045
world192.txt,./Datasets/Large_text_files/world192.txt,2473400,2382086,0.03691841190264411
hi,./Datasets/protein_corpus/hi,509519,507410,0.004139197949438622
hs,./Datasets/protein_corpus/hs,3295751,3260890,0.010577558802227438
mj,./Datasets/protein_corpus/mj,448779,446534,0.005002462236423755
sc,./Datasets/protein_corpus/sc,2900352,2873508,0.009255428306633173
